service_id,date,exception_type
4281:GVB:246:W:WE,20170109,1
4281:GVB:36:W:WE,20161223,1
4281:GVB:246:W:WE,20170531,1
4281:GVB:246:W:WE,20170601,1
4281:GVB:246:W:WE,20170602,1
4281:GVB:246:W:WE,20170605,1
4281:GVB:17:W:WE,20170707,1
4451:GVB:53:W:WE,20170404,1
4451:GVB:53:W:WE,20170630,1
4281:GVB:34:W:ZA,20170513,1
4281:GVB:34:W:ZA,20170520,1
4281:GVB:34:W:ZA,20170527,1
4281:GVB:34:W:ZA,20170603,1
4281:GVB:34:W:ZA,20170610,1
4281:GVB:44:W:WE,20170321,1
4281:GVB:758:W:WE,20170705,1
4281:GVB:758:W:WE,20170706,1
4281:GVB:758:W:WE,20170707,1
4281:GVB:754:W:WE,20170104,1
4281:GVB:754:W:WE,20170105,1
4281:GVB:754:W:WE,20170106,1
4281:GVB:15:A:WE,20171124,1
4281:GVB:15:A:WE,20171127,1
4281:GVB:15:A:WE,20171128,1
4281:GVB:15:A:WE,20171129,1
4281:GVB:15:A:WE,20171130,1
4281:GVB:15:A:WE,20171201,1
4281:GVB:15:A:WE,20171204,1
4281:GVB:9:W:ZA,20170304,1
4281:GVB:9:W:ZA,20170311,1
4281:GVB:9:W:ZA,20170318,1
4281:GVB:909:W:WE,20170815,1
4281:GVB:909:W:WE,20170816,1
4281:GVB:909:W:WE,20170817,1
4281:GVB:909:W:WE,20170818,1
4281:GVB:909:W:WE,20170821,1
4281:GVB:909:W:WE,20170822,1
4281:GVB:9:W:WE,20171030,1
4281:GVB:249:W:WE,20170511,1
4281:GVB:249:W:WE,20170512,1
4281:GVB:2:W:DO,20171019,1
4281:GVB:2:W:DO,20171026,1
4281:GVB:902:W:WE,20171109,1
4281:GVB:902:W:WE,20171110,1
4281:GVB:16:A:WE,20170920,1
4281:GVB:16:A:WE,20170921,1
4281:GVB:16:A:WE,20170922,1
4438:GVB:761:W:WE,20171026,1
4451:GVB:53:W:WE,20170314,1
4451:GVB:53:W:WE,20170315,1
4451:GVB:53:W:WE,20170316,1
4451:GVB:53:W:WE,20170317,1
4281:GVB:37:W:ZA,20171014,1
4281:GVB:37:W:ZA,20171021,1
4281:GVB:37:W:ZA,20171028,1
4281:GVB:37:W:ZA,20171104,1
4281:GVB:246:W:ZO,20171022,1
4281:GVB:65:A:WE,20171025,1
4281:GVB:913:W:WE,20171024,1
4281:GVB:913:W:WE,20171025,1
4281:GVB:461:AA:ZO,20170514,1
4281:GVB:461:AA:ZO,20170521,1
4281:GVB:461:AA:ZO,20170528,1
4281:GVB:461:AA:ZO,20170604,1
4281:GVB:461:AA:ZO,20170611,1
