stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
GVB:00146,00146,"Amsterdam, Gooioord",52.320483,4.969063,0,stoparea:GVB:00146,,0,,
GVB:00147,00147,"Amsterdam, Gooioord",52.319945,4.969361,0,stoparea:GVB:00146,,0,,
GVB:00150,00150,"Amsterdam, Tulastraat",52.31994,4.965357,0,stoparea:GVB:00150,,1,,
GVB:00151,00151,"Amsterdam, Tulastraat",52.319852,4.965842,0,stoparea:GVB:00150,,1,,
GVB:00152,00152,"Amsterdam, Florijn",52.317588,4.958589,0,stoparea:GVB:00152,,1,,
GVB:00153,00153,"Amsterdam, Florijn",52.31778,4.959716,0,stoparea:GVB:00152,,1,,
GVB:00157,00157,"Amsterdam, Dolingadreef",52.319249,4.948468,0,stoparea:GVB:00156,,0,,
GVB:00158,00158,"Amsterdam, Dolingadreef",52.318955,4.949013,0,stoparea:GVB:00158,,,,
GVB:00164,00164,"Amsterdam, Hofgeest",52.312546,4.958608,0,stoparea:GVB:00164,,0,,
GVB:00167,00167,"Amsterdam, Hogevecht",52.309475,4.959562,0,stoparea:GVB:00167,,1,,
GVB:00168,00168,"Amsterdam, Hogevecht",52.30945,4.959972,0,stoparea:GVB:00167,,1,,
GVB:00169,00169,"Amsterdam, Huigenbos",52.306666,4.960762,0,stoparea:GVB:00169,,1,,
GVB:00170,00170,"Amsterdam, Huigenbos",52.306891,4.960833,0,stoparea:GVB:00169,,1,,
GVB:00171,00171,"Amsterdam, Maasdrielhof",52.302205,4.964836,0,stoparea:GVB:00171,,0,,
GVB:00172,00172,"Amsterdam, Holendrechtplein",52.299524,4.964026,0,stoparea:GVB:00172,,1,,
GVB:00173,00173,"Amsterdam, Holendrechtplein",52.299107,4.963092,0,stoparea:GVB:00172,,1,,
GVB:00174,00174,"Amsterdam, Maasdrielhof",52.301803,4.965485,0,stoparea:GVB:00171,,1,,
GVB:00177,00177,"Amsterdam, Nelson Mandelapark",52.310948,4.964357,0,stoparea:GVB:00177,,1,,
GVB:00178,00178,"Amsterdam, Nelson Mandelapark",52.31101,4.964034,0,stoparea:GVB:00177,,1,,
GVB:00179,00179,"Amsterdam, Kelbergen",52.313509,4.971797,0,stoparea:GVB:00179,,1,,
GVB:00180,00180,"Amsterdam, Kelbergen",52.313544,4.97143,0,stoparea:GVB:00179,,1,,
GVB:00184,00184,"Amsterdam, Meernhof",52.299223,4.967841,0,stoparea:GVB:00184,,1,,
GVB:00185,00185,"Amsterdam, Meernhof",52.299715,4.967103,0,stoparea:GVB:00184,,0,,
GVB:00186,00186,"Amsterdam, Geinbrug",52.304426,5.013126,0,stoparea:GVB:00186,,0,,
